Crop,ScientificName,Symbol,Contents Available,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),Average Moisture %,Average Sodium % (dry),Average Phosphorus % (dry),Average Potassium % (dry),,
"Cauliflower, for immature inflorescence",Brassica oleracea var. botrytis,BROLB,"N,P,K",Inflorescence,Vegetable,lb of fruit ,1,90.88,4.43,0.66,3.22,,
Celery-Green,Apium graveolens var. dulce,APGRD,"N,P,K",Petiole,Vegetable,lb of stem ,1,94.55,2.42,0.66,4.80,,
Celery-Self-blanching,Apium graveolens var. dulce,APGRD,"N,P,K",Petiole,Vegetable,lb of stem ,1,96.00,2.80,0.68,4.00,,
"Chard-Swiss, for immature leaf",Beta vulgaris ssp. cicla,BEVUC,"N,P,K",Leaf,Vegetable,lb of leaf,1,92.00,3.60,0.58,3.00,,
Cherimoya,Annona cherimola,ANCH9,"N,P",Fruit,Tree and fruit,lb of fruit,1,73.50,0.78,0.15,0.00,,
"Cherry (sour, red)",Prunus cerasus,PRCE,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.13,1.15,0.11,1.25,,
"Clover-Alsike, for green chop",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,77.20,2.89,0.29,2.70,,
"Clover-Alsike, for green chop (full bloom)",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,75.87,2.50,0.26,2.58,,
"Clover-Alsike, for green chop (mid bloom)",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,76.40,2.51,0.25,2.58,,
"Clover-Alsike, for hay",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,12.56,2.27,0.25,2.48,,
"Clover-Alsike, for hay (early bloom)",Trifolium hybridum,TRHY,N,Aboveground biomass,Forage,ton,2000,17.85,2.63,0.00,0.00,,
"Clover-Alsike, for hay (full bloom)",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,10.35,2.36,0.28,2.55,,
"Clover-Alsike, for hay (mid bloom)",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,11.00,2.42,0.28,2.55,,
"Clover-Crimson, for green chop",Trifolium incarnatum,TRIN3,"N,P,K",Aboveground biomass,Forage,ton,2000,80.78,2.74,0.28,3.10,,
"Clover-Crimson, for green chop (late bloom)",Trifolium incarnatum,TRIN3,N,Aboveground biomass,Forage,ton,2000,84.10,2.82,0.00,0.00,,
"Clover-Crimson, for hay",Trifolium incarnatum,TRIN3,"N,P,K",Aboveground biomass,Forage,ton,2000,11.75,2.65,0.22,2.76,,
"Clover-Crimson, for hay (early bloom)",Trifolium incarnatum,TRIN3,N,Aboveground biomass,Forage,ton,2000,15.10,3.78,0.00,0.00,,
"Clover-Crimson, for hay (late bloom)",Trifolium incarnatum,TRIN3,N,Aboveground biomass,Forage,ton,2000,13.90,2.62,0.00,0.00,,
"Clover-Red + Grass, for hay","Trifolium pratense, Poaceae",TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,11.60,2.27,0.23,1.42,,
"Clover-Red + Grass, for hay (full bloom)","Trifolium pratense, Poaceae",TRPR2,N,Aboveground biomass,Forage,ton,2000,11.30,2.53,0.00,0.00,,
"Clover-Red + Grass, for hay (mature)","Trifolium pratense, Poaceae",TRPR2,"N,P",Aboveground biomass,Forage,ton,2000,8.60,1.78,0.25,0.00,,
"Clover-Red + Grass, for hay (mid bloom)","Trifolium pratense, Poaceae",TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,10.80,2.66,0.23,1.59,,
"Clover-Red + Timothy, for hay","Trifolium partense, Phleum pratense","TRPR2, PHPR3","P,K",Aboveground biomass,Forage,ton,2000,9.60,0.00,0.17,1.52,,
"Clover-Red, for green chop",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,77.50,2.92,0.29,2.40,,
"Clover-Red, for green chop (early bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,80.15,3.10,0.38,2.49,,
"Clover-Red, for green chop (full bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,73.58,2.37,0.28,1.96,,
"Clover-Red, for green chop (late vegetative)",Trifolium pratense,TRPR2,N,Aboveground biomass,Forage,ton,2000,75.00,3.40,0.00,0.00,,
"Clover-Red, for green chop (mid bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,74.27,2.42,0.28,1.98,,
"Clover-Red, for hay",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,13.95,2.51,0.26,1.89,,
"Clover-Red, for hay (early bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,12.53,2.39,0.31,1.91,,
"Clover-Red, for hay (full bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,13.55,2.43,0.25,1.86,,
"Clover-Red, for hay (late vegetative)",Trifolium pratense,TRPR2,N,Aboveground biomass,Forage,ton,2000,15.00,3.35,0.00,0.00,,
"Clover-Red, for hay (mature)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,8.80,1.94,0.21,1.70,,
"Clover-Red, for hay (mid bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,11.70,2.46,0.28,1.55,,
"Clover-Red, for seed",Trifolium pratense,TRPR2,"N,P",Seed,Forage,cwt,100,12.23,5.89,0.61,0.00,,
"Clover-White, for green chop",Trifolium repens,TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,81.90,4.26,0.47,2.22,,
"Clover-White, for green chop (full bloom)",Trifolium repens,TRRE3,"N,P",Aboveground biomass,Forage,ton,2000,82.10,4.53,0.44,0.00,,
"Clover-White, for hay",Trifolium repens,TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,9.73,3.09,0.35,2.25,,
"Clover-White, for hay (full bloom)",Trifolium repens,TRRE3,N,Aboveground biomass,Forage,ton,2000,7.60,3.22,0.00,0.00,,
"Clover-White, for hay (late bloom)",Trifolium repens,TRRE3,N,Aboveground biomass,Forage,ton,2000,12.40,2.77,0.00,0.00,,
"Clover-White, for hay (mature)",Trifolium repens,TRRE3,N,Aboveground biomass,Forage,ton,2000,7.80,2.26,0.00,0.00,,
"Clover-White-Ladino type + Grass, for green chop","Trifolium repens, Poaceae",TRRE3,"N,P",Aboveground biomass,Forage,ton,2000,80.00,2.80,0.40,0.00,,
"Clover-White-Ladino type + Grass, for green chop (early bloom)","Trifolium repens, Poaceae",TRRE3,N,Aboveground biomass,Forage,ton,2000,80.00,2.45,0.00,0.00,,
"Clover-White-Ladino type + Grass, for hay","Trifolium repens, Poaceae",TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,11.25,2.92,0.23,1.96,,
"Clover-White-Ladino type + Grass, for hay (mature)","Trifolium repens, Poaceae",TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,8.50,1.81,0.22,1.75,,
"Clover-White-Ladino type + Timonth, for silage","Trifolimu repens, Phleum pratense","TRRE3, PHPR3","N,P,K",Aboveground biomass,Forage,ton,2000,70.60,3.17,0.20,2.22,,
"Clover-White-Ladino type, for green chop",Trifolium repens,TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,80.94,3.95,0.41,1.95,,
"Clover-White-Ladino type, for green chop (early bloom)",Trifolium repens,TRRE3,"P,K",Aboveground biomass,Forage,ton,2000,64.60,0.00,0.31,3.17,,
"Clover-White-Ladino type, for hay",Trofolium repens,TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.82,3.32,0.32,2.43,,
"Clover-White-Ladino type, for hay (early bloom)",Trofolium repens,TRRE3,"N,P",Aboveground biomass,Forage,ton,2000,7.57,3.53,0.31,0.00,,
"Clover-White-Ladino type, for hay (mature)",Trofolium repens,TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,8.90,2.53,0.25,2.16,,
"Coconut, for meat",Cocos nucifera,CONU,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,46.99,1.01,0.21,0.67,,
"Coconut, for milk",Cocos nucifera,CONU,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,67.62,1.13,0.31,0.81,,
"Corn-Field, for grain (shelled, yellow dent, grade #1)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Caryopsis,Cereal and oil,bu,56,13.52,1.64,0.31,0.34,,
"Corn-Field, for silage (dough stage)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Aboveground biomass,Forage,ton,2000,71.20,1.24,0.19,1.04,,
"Corn-Field, for silage (mature)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Aboveground biomass,Forage,ton,2000,70.08,1.30,0.38,1.04,,
"Corn-Field, for silage (milk stage)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Aboveground biomass,Forage,ton,2000,76.87,1.42,0.24,1.47,,
"Corn-Field, for stover (yield less than 95 bu/acre, mature, without ear, dry)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Stover,Cereal and oil,lb stover/bu grain,56,13.30,0.98,0.10,1.50,,
"Corn-Field, for stover (yield more than 95 bu/acre, mature, without ear, dry)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Stover,Cereal and oil,lb stover/bu grain,70,13.30,0.98,0.10,1.50,,
"Corn-Popcorn, for grain",Zea mays ssp. mays,ZEMAM2,"N,P",Caryopsis,Cereal and oil,bu,50,10.10,2.05,0.33,0.00,,
"Corn-Popcorn, for stover (mature, without ear, dry)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Stover,Cereal and oil,lb stover/bu grain,56,12.73,0.97,0.10,1.52,,
"Corn-Sweet, for ears with husk (immature)",Zea mays ssp. mays,ZEMAM2,N,Ear and husk,Vegetable,lb of fruit ,1,64.85,1.61,0.00,0.00,,
"Corn-Sweet, for grain (dry)",Zea mays ssp. mays,ZEMAM2,"N,P",Caryopsis,Vegetable,lb of caryopsis,1,9.07,2.01,0.38,0.00,,
"Corn-Sweet, for stover (without ear and husk, immature)",Zea mays ssp. mays,ZEMAM2,N,Stover,Vegetable,ton,2000,76.54,1.20,0.00,0.00,,
"Corn-Sweet, for stover (without ear and husk, mature, very dry)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Stover,Vegetable,lb stover/bu grain,56,9.40,1.04,0.10,1.64,,
"Cotton, for lint without seed or cotton lint",Gossypium sp.,GOSSY,N,Seed,Fiber and miscellaneous,lb of seed,1,9.00,0.20,0.00,0.00,,
"Cotton, for seed with lint or seed cotton",Gossypium sp.,GOSSY,"N,P,K",Seed and lint,Fiber and miscellaneous,lb of seed and lint,1,7.80,3.30,0.41,0.49,,
"Cotton, for seed without lint",Gossypium sp.,GOSSY,"N,P,K",Seed,Fiber and miscellaneous,lb of seed,1,8.38,3.77,0.73,1.18,,
"Cotton, for stalks (dry)",Gossypium sp.,GOSSY,N,Straw,Fiber and miscellaneous,lb straw/lb seed cotton,1,7.70,0.99,0.00,0.00,,
"Cowpea, for hay",Vigna unguiculata ssp. unguiculata,VIUNU,"N,P,K",Aboveground biomass,Forage,ton,2000,9.60,2.97,0.32,2.39,,
"Cowpea, for seed",Vigna unguiculata ssp. unguiculata,VIUNU,"N,P,K",Seed,Vegetable,lb of seed,1,10.65,4.13,0.53,1.33,,
"Cowpea, for straw",Vigna unguiculata ssp. unguiculata,VIUNU,N,Straw,Forage,lb straw/lb seed,1.35,8.94,1.13,0.00,0.00,,
Crabapple,Malus sp.,MALUS,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,78.94,0.30,0.07,0.92,,
Cranberry,Vaccinium macrocarpon,VAMA,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.54,0.46,0.07,0.53,,
"Cucumber, for fruit",Cucumis sativus,CUSA4,"N,P,K",Fruit,Vegetable,lb of fruit ,1,95.50,2.50,0.53,4.25,,
Cup plant,Silphium perfoliatum,SIPE2,"N,P,K",Aboveground biomass,Forage,ton,2000,71.00,3.00,0.05,3.00,,
Currant-European black,Ribes nigrum,RINI,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.96,1.24,0.33,1.78,,
Currants-Red & White,Ribes rubrum,RIRU80,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,83.95,1.40,0.27,1.71,,
Custard-Apple,Annona reticulata,ANRE,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,71.50,0.95,0.07,1.34,,
"Date palm, for fruit",Phoenix dactylifera,PHDA4,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,22.50,0.41,0.05,0.84,,
"Eggplant, for fruit",Solanum melongena,SOME,"N,P,K",Fruit,Vegetable,lb of fruit ,1,93.00,2.51,0.31,3.00,,
Elderberry,Sambucus sp.,SAMBU,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,79.80,0.52,0.19,1.39,,
"Elephantgrass, for silage",Pennisetum purpureum,PEPU2,"N,P",Aboveground biomass,Forage,ton,2000,74.70,0.77,0.31,0.00,,
"Elephantgrass, for silage (mature)",Pennisetum purpureum,PEPU2,"N,P,K",Aboveground biomass,Forage,ton,2000,70.45,0.68,0.30,3.18,,
"Elephantgrass, for silage (vegetative)",Pennisetum purpureum,PEPU2,"N,P,K",Aboveground biomass,Forage,ton,2000,79.80,0.89,0.44,2.32,,
"Endive (Chicory), for immature leaf",Cichorium endivia,CIEN,"N,P,K",Leafy head,Vegetable,lb of leaf,1,95.00,4.16,0.45,5.60,,
"Escarole, for leaf",Cichorium endivia,CIEN,"N,P,K",Leafy head,Vegetable,lb of leaf,1,94.00,3.20,0.23,4.00,,
"Fescue, for green chop",Festuca or Lolium sp.,"FESTU, LOLIU","N,P",Aboveground biomass,Forage,ton,2000,64.00,1.16,0.25,0.00,,
"Fescue, for green chop (early bloom)",Festuca or Lolium sp.,"FESTU, LOLIU","N,P,K",Aboveground biomass,Forage,ton,2000,71.00,2.36,0.37,1.92,,
"Fescue, for green chop (early vegetative)",Festuca or Lolium sp.,"FESTU, LOLIU","N,P,K",Aboveground biomass,Forage,ton,2000,73.90,2.75,0.40,2.13,,
"Fescue, for green chop (late bloom)",Festuca or Lolium sp.,"FESTU, LOLIU",N,Aboveground biomass,Forage,ton,2000,64.00,1.54,0.00,0.00,,
"Fescue, for green chop (mature)",Festuca or Lolium sp.,"FESTU, LOLIU",N,Aboveground biomass,Forage,ton,2000,64.00,1.07,0.00,0.00,,
"Fescue, for green chop (over ripe)",Festuca or Lolium sp.,"FESTU, LOLIU","N,P,K",Aboveground biomass,Forage,ton,2000,64.00,0.61,0.11,0.90,,
"Fescue, for hay",Festuca or Lolium sp.,"FESTU, LOLIU",N,Aboveground biomass,Forage,ton,2000,10.00,1.51,0.00,0.00,,
"Fescue, for hay (early bloom)",Festuca or Lolium sp.,"FESTU, LOLIU","N,P,K",Aboveground biomass,Forage,ton,2000,11.95,1.78,0.24,1.70,,
"Fescue, for hay (early vegetative)",Festuca or Lolium sp.,"FESTU, LOLIU","N,P,K",Aboveground biomass,Forage,ton,2000,9.00,1.98,0.36,2.30,,
"Fescue, for hay (late vegetative)",Festuca or Lolium sp.,"FESTU, LOLIU","N,P,K",Aboveground biomass,Forage,ton,2000,7.30,2.90,0.34,2.00,,
"Fescue-Meadow, for hay",Lolium pratense,LOPR7,N,Aboveground biomass,Forage,ton,2000,11.60,1.19,0.00,0.00,,
"Fescue-Tall, for green chop",Lolium arundinaceum,LOAR10,"N,P",Aboveground biomass,Forage,ton,2000,70.50,2.34,0.37,0.00,,
"Fescue-Tall, for green chop (early bloom)",Lolium arundinaceum,LOAR10,"N,P",Aboveground biomass,Forage,ton,2000,71.40,2.67,0.37,0.00,,
"Fescue-Tall, for green chop (early bloom) (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,71.40,2.18,0.00,0.00,,
"Fescue-Tall, for green chop (early vegetative)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,73.20,3.38,0.39,4.48,,
"Fescue-Tall, for green chop (full bloom) (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,75.00,1.44,0.00,0.00,,
"Fescue-Tall, for green chop (late vegetative)",Lolium arundinaceum,LOAR10,"N,P",Aboveground biomass,Forage,ton,2000,73.70,3.22,0.39,0.00,,
"Fescue-Tall, for green chop (late vegetative) (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,76.10,2.90,0.00,0.00,,
"Fescue-Tall, for green chop (mature)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,75.00,1.10,0.25,1.82,,
"Fescue-Tall, for green chop (mature) (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,75.00,1.07,0.00,0.00,,
"Fescue-Tall, for green chop (mid bloom)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,75.00,1.70,0.29,2.06,,
"Fescue-Tall, for green chop (mid bloom) (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,75.00,1.68,0.00,0.00,,
"Fescue-Tall, for green chop (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,70.50,1.86,0.00,0.00,,
"Fescue-Tall, for hay (early bloom)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,8.00,3.14,0.26,1.96,,
"Fescue-Tall, for hay (early vegetative)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,7.90,3.25,0.51,2.36,,
"Fescue-Tall, for hay (full bloom)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,8.40,2.31,0.32,2.36,,
"Fescue-Tall, for hay (full bloom) (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,8.40,0.75,0.00,0.00,,
"Fescue-Tall, for hay (late vegetative)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,15.00,3.06,0.00,0.00,,
"Fescue-Tall, for hay (late vegetative) (Pacific coast)",Lolium arundinaceum,LOAR10,"N,P",Aboveground biomass,Forage,ton,2000,4.40,2.14,0.24,0.00,,
"Fescue-Tall, for hay (mature)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,12.50,1.71,0.30,1.96,,
"Fescue-Tall, for hay (mid bloom)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,11.40,2.17,0.29,2.06,,
"Fescue-Tall, for hay (over ripe)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,8.00,1.45,0.00,0.00,,
"Fescue-Tall, for hay (Pacific coast)",Lolium arundinaceum,LOAR10,"N,P",Aboveground biomass,Forage,ton,2000,11.00,1.39,0.24,0.00,,
Fig,Ficus carica,FICA,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,79.11,0.57,0.07,1.11,,
"Filbert or Hazelnut, dry",Corylus sp.,CORYL,"N,P,K",Nut,Tree and fruit,lb of nut,1,5.42,2.21,0.33,0.47,,
"Flax, for seed",LInum usitatissimum,LIUS,"N,P,K",Seed,Cereal and oil,bu,56,6.14,3.70,0.57,0.84,,
"Flax, for straw",LInum usitatissimum,LIUS,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,80,6.94,1.11,0.08,1.74,,
"Gamagrass-Eastern, for hay (inflorescence to anthesis, cut 1)",Tripsacum dactyloides,TRDA3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.85,2.00,0.27,2.02,,
"Gamagrass-Eastern, for hay (seed ripening, cut 1)",Tripsacum dactyloides,TRDA3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.85,1.69,0.27,2.02,,
"Gamagrass-Eastern, for hay (vegetative, cut>1)",Tripsacum dactyloides,TRDA3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.85,1.69,0.40,2.64,,
"Gamagrass-Eastern, for hay (boot, cut 1)",Tripsacum dactyloides,TRDA3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.85,2.28,0.27,2.02,,
"Gamagrass-Eastern, for hay (maturity, cut 1)",Tripsacum dactyloides,TRDA3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.85,1.51,0.10,3.06,,
Garlic,Allium sativum,ALSA2,"N,P,K",Bulb,Vegetable,lb of fruit ,1,61.00,2.63,0.44,1.38,,
Ginkgo Nut or Maidenhair Tree Nut,Ginkgo biloba,GIBI2,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,55.20,1.54,0.28,1.14,,
Gooseberry,Ribes sp.,RIBES,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,87.87,1.16,0.22,1.63,,
Grape-American type,Vitis sp.,VITIS,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,80.65,0.57,0.05,1.02,,
Grape-European type,Vitis vinifera,VIVI5,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,80.28,0.57,0.07,0.95,,
Grapefruit-Pink & Red (all areas),Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,91.38,1.02,0.10,1.50,,
Grapefruit-Pink & Red (California & Arizona),Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,89.31,0.75,0.11,1.38,,
Grapefruit-Pink & Red (Florida),Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,91.56,1.04,0.11,1.50,,
"Grapefruit-Pink, Red, & White (all areas)",Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,90.89,1.11,0.09,1.53,,
Grapefruit-White (all areas),Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,90.48,1.16,0.08,1.55,,
Grapefruit-white (California),Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,89.58,1.35,0.12,1.37,,
Grapefruit-white (Florida),Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,90.76,1.09,0.08,1.62,,
"Grass + Clover-Red, for hay","Poaceae, Trifolium pratense",TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,11.60,2.27,0.23,1.42,,
"Grass + Clover-Red, for hay (full bloom)","Poaceae, Trifolium pratense",TRPR2,N,Aboveground biomass,Forage,ton,2000,11.30,2.53,0.00,0.00,,
"Grass + Clover-Red, for hay (mature)","Poaceae, Trifolium pratense",TRPR2,"N,P",Aboveground biomass,Forage,ton,2000,8.60,1.78,0.25,0.00,,
"Grass + Clover-Red, for hay (mid bloom)","Poaceae, Trifolium pratense",TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,10.80,2.66,0.23,1.59,,
"Grass + Clover-White-Ladino type, for green chop","Poaceae, Trifolium repens",TRRE3,"N,P",Aboveground biomass,Forage,ton,2000,80.00,2.80,0.40,0.00,,
"Grass + Clover-White-Ladino type, for green chop (early bloom)","Poaceae, Trifolium repens",TRRE3,N,Aboveground biomass,Forage,ton,2000,80.00,2.45,0.00,0.00,,
"Grass + Clover-White-Ladino type, for hay","Poaceae, Trifolium repens",TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,11.25,2.92,0.23,1.96,,
"Grass + Clover-White-Ladino type, for hay (mature)","Poaceae, Trifolium repens",TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,8.50,1.81,0.22,1.75,,
"Grass, for green chop",Poaceae,None,"N,P,K",Aboveground biomass,Forage,ton,2000,72.50,2.50,0.26,1.97,,
"Grass, for green chop (early bloom)",Poaceae,None,"N,P,K",Aboveground biomass,Forage,ton,2000,71.80,1.64,0.23,1.33,,
"Grass, for green chop (mature)",Poaceae,None,"N,P",Aboveground biomass,Forage,ton,2000,52.10,0.98,0.05,0.00,,
"Grass, for hay",Poaceae,None,"N,P,K",Aboveground biomass,Forage,ton,2000,10.90,1.52,0.22,1.45,,
"Grass, for hay (early bloom)",Poaceae,None,P,Aboveground biomass,Forage,ton,2000,10.60,0.00,0.28,0.00,,
"Grass, for hay (full bloom)",Poaceae,None,"N,P,K",Aboveground biomass,Forage,ton,2000,10.85,1.54,0.24,1.34,,
"Grass, for hay (mature)",Poaceae,None,"N,P",Aboveground biomass,Forage,ton,2000,9.57,0.84,0.16,0.00,,
"Grass, for silage, (early bloom)",Poaceae,None,"N,P,K",Aboveground biomass,Forage,ton,2000,75.10,1.84,0.32,1.88,,
Groundcherry,Physalis sp.,None,"N,P",Fruit,Tree and fruit,lb of fruit,1,85.40,2.08,0.27,0.00,,
"Guar, for green chop (mature)",Cyamopsis tetragonoloba,CYTE11,"N,P,K",Aboveground biomass,Forage,ton,2000,80.80,1.90,0.16,1.91,,
"Guar, for green chop (pre bloom)",Cyamopsis tetragonoloba,CYTE11,N,Aboveground biomass,Forage,ton,2000,80.80,2.56,0.00,0.00,,
"Guar, for green chop (vegetative)",Cyamopsis tetragonoloba,CYTE11,"N,P,K",Aboveground biomass,Forage,ton,2000,81.00,2.34,0.17,1.92,,
"Guar, for hay",Cyamopsis tetragonoloba,CYTE11,N,Aboveground biomass,Forage,ton,2000,8.05,2.66,0.00,0.00,,
Guava-Common,Psidium guajava,PSGU,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.10,0.94,0.18,2.04,,
Guava-Strawberry,Psidium cattleianum,PSCA,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,80.66,0.48,0.14,1.51,,
Hickory Nut (dry),Carya sp.,CARYA,"N,P,K",Nut,Tree and fruit,lb of nut,1,2.65,2.09,0.35,0.45,,
Jackfruit,Artocarpus heterophyllus,ARHE2,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,72.23,0.85,0.13,1.09,,
Java-plum,Syzygium cumini,SYCU,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,83.13,0.68,0.10,0.47,,
"Jojoba, for seed",Simmondsia chinensis,SICH,N,Seed,Fiber and miscellaneous,lb of seed,1,4.90,2.37,0.00,0.00,,
Jujube-Common,Ziziphus zizyphus,ZIZI,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,77.86,0.87,0.10,1.13,,
"Kale, for leaf",Brassica oleracea,BROL,"N,P,K",Leaf,Vegetable,lb of leaf,1,85.00,3.52,0.37,2.67,,
"Kale, for green chop",Brassica oleracea,BROL,"N,P,K",Stem and leaf,Forage,lb of leaf,1,88.53,3.40,0.53,3.03,,
Kiwi,Actinidia deliciosa,not in PLANTS,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,83.05,0.93,0.24,1.96,,
Kohlrabi,Brassica oleracea var. gongylodes,BROLG2,"N,P,K",Stem,Vegetable,lb of stem,1,91.00,3.02,0.51,3.89,,
Kumquat,Fortunella sp.,FORTU,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.70,0.79,0.10,1.07,,
Leek,Allium porrum,ALPO2,"N,P,K",Bulb,Vegetable,lb of fruit ,1,83.00,1.41,0.21,1.06,,
Lemon,Citrus limon,CILI,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,87.20,1.51,0.12,1.15,,
"Lentil-Common, for seed",Lens culinaris,LECU2,"N,P,K",Seed,Vegetable,lb of seed,1,11.33,4.36,0.43,0.86,,
"Lespedeza-Korean, for hay (early bloom)",Kummerowia stipulacea,KUST,N,Aboveground biomass,Forage,ton,2000,6.10,2.45,0.00,0.00,,
"Lespedeza-Korean, for hay (full bloom)",Kummerowia stipulacea,KUST,"N,P,K",Aboveground biomass,Forage,ton,2000,9.00,2.29,0.24,0.96,,
